url,page,id,section,tabs,section_title,section_subtitle,chart_title,chart_subtitle,footnote,source
,homepage,multi-type-chart-reshare,ndc-banner,, Cumulative electric power Installed capacity from non-fossil fuel by 2030 ,,,,(in GW) as on 30th April 2025,MNRE & CEA
,homepage,reTrackerTrend,renewable-energy-progress,,Renewable Energy Progress,FY 2025-26 data is till 30th April 2025,,,"*From the year 2010-11 to 2016-17, the solar capacity includes ground-mounted, rooftop, and off-grid.",MNRE & CEA
,homepage,multi-type-chart-reTrackerInstalled,renewable-energy-progress,,Renewable Energy Progress,FY 2025-26 data is till 30th April 2025,,,*Pipeline data updated as per latest available information,MNRE & CEA
,homepage,power-sector-overview,power-sector-overview,,Power Sector Overview,,,,,"MNRE, CEA, NPP, & Grid-India"
,homepage,energy-flow,energy-flows,,,,Energy Flows,,*The percentage share is calculated on the total primary energy supply (TPES),The figures are calculated based on actual data from various ministries
,homepage,multi-type-chart-emissions,sectoral-chg-emissions,net,,,Sectoral GHG Emissions,Total emissions in 2020 (including LULUCF) - 2436 MtCO₂Ｆ,"1. Emissions are in MtCO₂e. 2. LULUCF stands for Land use, Land-use change and Forestry, and IPPU stands for Industrial Processes and Product Use",MoEFCC
,homepage,multi-type-chart-emissions,sectoral-chg-emissions,gross,,,Sectoral GHG Emissions,Total emissions in 2020 (excluding LULUCF) - 2958 MtCO₂Ｆ,"1. Emissions are in MtCO₂e. 2. LULUCF stands for Land use, Land-use change and Forestry, and IPPU stands for Industrial Processes and Product Use",MoEFCC
,homepage,pictorial-amcharts,ground-water-resources,,,,Ground Water Resources,,"*Based on National Compilation on Dynamic Ground Water Resources of India, 2023 | Figures in brackets denote assessment units owned/managed by Central Ground Water Board.",Central Ground Water Board
,homepage,multi-type-chart-temperature,climate-variability,,Climate Variability - Decadal Temperature Trends (°C),,,,,IMD
,homepage,download-annual-per-capita-section,annual-per-capacity,,Annual Per Capita Water Availability,,,,"*Annual per capita water availability for 2025 and 2050 is based on Water and Related Statistics - 2021, published by the Central Water Commission, Govt. of India",Central Water Commission
,homepage,download-land-cover-section,land-cover,,Land Cover,,,,"*All listed land-use land-cover classes' data except for Forest land are based on EnviStats India, 2022 report by MoSPI, for the period 2011-12 to 2015-16. <br/>*Evaluation of Forest land is based on India State of Forest Reports 2015 & 2021 with data for the period 2013-14 and 2019-20 respectively.",MoSPI- Economic Statistics & FSI
,homepage,bio-india-map,biodiversity-hotspot,,,,Biodiversity Hotspots of India,,,Wildlife Institute of India & MoEFCC
,homepage,download-economy-section,economy,,Economy,,,,First Revised Estimates for the year 2023-24 and Provisional Estimates for 2024-25.,MoSPI- National Accounts
,homepage,download-demography-in-2022-section,demography,,*Demography (2024),,,,"*Based on Population Projection Report 2011-2036, published by the National Commission on Population, Ministry of Health & Family Welfare, Govt. of India.",MoHFW
/energy,energy-overview,share-dataset-source,sourcewise-primary-energy-supply,,Source-wise Primary Energy Supply,,,,*Non-commercial sources including biomass are not included in this graph.,The figures are calculated based on actual data from various ministries
/energy,energy-overview,stacked-area-chart-sector,sectorwise-energy-consumption,,,,Sector-wise Energy Consumption,,,The figures are calculated based on actual data from various ministries
/energy,energy-overview,electricity-generation,power-statistics-at-a-glance,,,,Power Statistics at a Glance,,"*The map shows information for states with available data. However, the gaps are regularly filled as and when data is available. Utmost care has been taken to ensure that all maps used in the website conform to Survey of India boundaries.<br/>Provisional data for April'25<br/>
*Capacity and generation presented in the graph based on the geographical location of the power plant.",Grid India & NPP
/energy,energy-overview,worldmap,countrywise-fuel-import-india,coal,,,Country-wise Fuel Imported in India from various Countries,,,MoC
/energy,energy-overview,worldmap,countrywise-fuel-import-india,oil,,,Country-wise Fuel Imported in India from various Countries,,,MoC&I
/energy,energy-overview,worldmap,countrywise-fuel-import-india,gas,,,Country-wise Fuel Imported in India from various Countries,,,MoC&I
/energy,energy-overview,multi-type-chart-daily-price,daily-international-spot-prices,coal,,,Daily International Spot Prices,,,"<a target=""_blank"" href=""https://www.investing.com/""> Investing.com India</a>"
/energy,energy-overview,multi-type-chart-daily-price,daily-international-spot-prices,oil,,,Daily International Spot Prices,,,EIA & OPEC
/energy,energy-overview,multi-type-chart-daily-price,daily-international-spot-prices,gas,,,Daily International Spot Prices,,,"EIA & <a target=""_blank"" href=""https://www.investing.com/""> Investing.com India</a>"
/energy/fuel-sources/coal/reserve,energy-coal-reserve,map,statewise-coal-and-lignite-reserves,,,,State-wise Coal & Lignite Reserves,in {{dynamicYear}},,MoC
