_id,plantCode,plantName,unitName,unitNo,state,district,lat,lng,commissioningDate,implementingAgency,ownershipType,ownershipGroup,capacity,commissioningStatus,decommissioningDate,decommissioningFYearDate,commissioningGroup,landRequirement,companyProfile,year,fyear,decade,plantSlug,source,file,createdAt,active,technologyType
67879d22249d1001f7272900,CPP0106,Tirora TPS,Tirora Thermal Power Station Unit 3,3.0,Maharashtra,Gondia,21.41,79.97,2013-06-01 00:00:00,Adani Power Co. Ltd. (APL),private,Private Enterprise,660.0,operational,N.A.,N.A.,operational,518.9213,,2013,2013-14,2010-2019,tirora-tps-adani-power-co-ltd-apl,coal,Master Sheets/december/Coal Mastersheet_(Till December24).xlsx,2025-01-15 17:03:53.068,1,Supercritical
67879d22249d1001f7272901,CPP0106,Tirora TPS,Tirora Thermal Power Station Unit 4,4.0,Maharashtra,Gondia,21.41,79.97,2014-03-23 00:00:00,Adani Power Co. Ltd. (APL),private,Private Enterprise,660.0,operational,N.A.,N.A.,operational,518.9213,,2014,2013-14,2010-2019,tirora-tps-adani-power-co-ltd-apl,coal,Master Sheets/december/Coal Mastersheet_(Till December24).xlsx,2025-01-15 17:03:53.071,1,Supercritical
67879d22249d1001f7272902,CPP0106,Tirora TPS,Tirora Thermal Power Station Unit 5,5.0,Maharashtra,Gondia,21.41,79.97,2014-09-25 00:00:00,Adani Power Co. Ltd. (APL),private,Private Enterprise,660.0,operational,N.A.,N.A.,operational,518.9213,,2014,2014-15,2010-2019,tirora-tps-adani-power-co-ltd-apl,coal,Master Sheets/december/Coal Mastersheet_(Till December24).xlsx,2025-01-15 17:03:53.074,1,Supercritical
67879d22249d1001f7272903,CPP0107,Dhariwal TPP,Dhariwal TPP Unit 1,1.0,Maharashtra,Chandrapur,20.01,79.2,2013-11-03 00:00:00,Dhariwal Infrastructure(P) Ltd.,private,Private Enterprise,300.0,operational,N.A.,N.A.,operational,480 ,https://www.dilenergy.co.in/,2013,2013-14,2010-2019,dhariwal-tpp-dhariwal-infrastructure-p-ltd,coal,Master Sheets/december/Coal Mastersheet_(Till December24).xlsx,2025-01-15 17:03:53.077,1,Subcritical
67879d22249d1001f7272904,CPP0107,Dhariwal TPP,Dhariwal TPP Unit 2,2.0,Maharashtra,Chandrapur,20.01,79.2,2014-06-04 00:00:00,Dhariwal Infrastructure(P) Ltd.,private,Private Enterprise,300.0,operational,N.A.,N.A.,operational,480 ,,2014,2014-15,2010-2019,dhariwal-tpp-dhariwal-infrastructure-p-ltd,coal,Master Sheets/december/Coal Mastersheet_(Till December24).xlsx,2025-01-15 17:03:53.080,1,Subcritical
67879d22249d1001f7272905,CPP0108,Chandrapur (Maharashtra) STPS,Chandrapur (Maharashtra) Super Thermal Power Station Unit 1,1.0,Maharashtra,Chandrapur,20.01,79.29,1983-08-01 00:00:00,Maharashtra State Power Generation Co. Ltd.,state,State Government Enterprise,210.0,decommissioned,N.A.,2016-17,retired,N.A.,https://www.mahagenco.in/index.php/generation,1983,1983-84,1980-1989,chandrapur-maharashtra-stps-maharashtra-state-power-generation-co-ltd,coal,Master Sheets/december/Coal Mastersheet_(Till December24).xlsx,2025-01-15 17:03:53.082,1,Subcritical
67879d22249d1001f7272906,CPP0108,Chandrapur (Maharashtra) STPS,Chandrapur (Maharashtra) Super Thermal Power Station Unit 2,2.0,Maharashtra,Chandrapur,20.01,79.29,1984-07-01 00:00:00,Maharashtra State Power Generation Co. Ltd.,state,State Government Enterprise,210.0,decommissioned,N.A.,2016-17,retired,N.A.,,1984,1984-85,1980-1989,chandrapur-maharashtra-stps-maharashtra-state-power-generation-co-ltd,coal,Master Sheets/december/Coal Mastersheet_(Till December24).xlsx,2025-01-15 17:03:53.085,1,Subcritical
67879d22249d1001f7272907,CPP0108,Chandrapur (Maharashtra) STPS,Chandrapur (Maharashtra) Super Thermal Power Station Unit 3,3.0,Maharashtra,Chandrapur,20.01,79.29,1985-05-01 00:00:00,Maharashtra State Power Generation Co. Ltd.,state,State Government Enterprise,210.0,operational,N.A.,N.A.,operational,N.A.,,1985,1985-86,1980-1989,chandrapur-maharashtra-stps-maharashtra-state-power-generation-co-ltd,coal,Master Sheets/december/Coal Mastersheet_(Till December24).xlsx,2025-01-15 17:03:53.088,1,Subcritical
67879d22249d1001f7272908,CPP0108,Chandrapur (Maharashtra) STPS,Chandrapur (Maharashtra) Super Thermal Power Station Unit 4,4.0,Maharashtra,Chandrapur,20.01,79.29,1986-03-01 00:00:00,Maharashtra State Power Generation Co. Ltd.,state,State Government Enterprise,210.0,operational,N.A.,N.A.,operational,N.A.,,1986,1985-86,1980-1989,chandrapur-maharashtra-stps-maharashtra-state-power-generation-co-ltd,coal,Master Sheets/december/Coal Mastersheet_(Till December24).xlsx,2025-01-15 17:03:53.091,1,Subcritical
67879d22249d1001f7272909,CPP0108,Chandrapur (Maharashtra) STPS,Chandrapur (Maharashtra) Super Thermal Power Station Unit 5,5.0,Maharashtra,Chandrapur,20.01,79.29,1991-03-01 00:00:00,Maharashtra State Power Generation Co. Ltd.,state,State Government Enterprise,500.0,operational,N.A.,N.A.,operational,N.A.,,1991,1990-91,1990-1999,chandrapur-maharashtra-stps-maharashtra-state-power-generation-co-ltd,coal,Master Sheets/december/Coal Mastersheet_(Till December24).xlsx,2025-01-15 17:03:53.093,1,Subcritical
