plant_name,state,district,commissioning_date,plant_capacity,implementing_agency,commissioning_group,year,fyear,decade,plant_slug,source,technology_type
Rithwik Energy Systems Ltd Andhra Pradesh Chittoor 6 2002-08-28,Andhra Pradesh,Chittoor,28-08-2002 00:00,6,Rithwik Energy Systems Ltd,operational,2002,2002-03,2000-2009,rithwik-energy-systems-ltd-andhra-pradesh-chittoor-6-2002-08-28,bio-power,
OM Shakthi Reenergies Ltd Andhra Pradesh Chittoor 6 2004-01-24,Andhra Pradesh,Chittoor,24-01-2004 00:00,6,OM Shakthi Reenergies Ltd,operational,2004,2003-04,2000-2009,om-shakthi-reenergies-ltd-andhra-pradesh-chittoor-6-2004-01-24,bio-power,
Greenko Energies Pvt Ltd Andhra Pradesh Y.S.R. (Kadapa) 6,Andhra Pradesh,Y.S.R. (Kadapa),N.A.,6,Greenko Energies Pvt Ltd,operational,N.A.,N.A.,N.A.,greenko-energies-pvt-ltd-andhra-pradesh-y-s-r-kadapa-6,bio-power,
Vamshi Industries Ltd. Andhra Pradesh East Godavari 4 2001-04-20,Andhra Pradesh,East Godavari,20-04-2001 00:00,4,Vamshi Industries Ltd.,operational,2001,2001-02,2000-2009,vamshi-industries-ltd-andhra-pradesh-east-godavari-4-2001-04-20,bio-power,
Sudha Agro Oil & Chemicals Industries Ltd Andhra Pradesh East Godavari 4 2001-12-27,Andhra Pradesh,East Godavari,27-12-2001 00:00,4,Sudha Agro Oil & Chemicals Industries Ltd,operational,2001,2001-02,2000-2009,sudha-agro-oil-chemicals-industries-ltd-andhra-pradesh-east-godavari-4-2001-12-27,bio-power,
Shree Papers Ltd Andhra Pradesh East Godavari 4 2003-02-23,Andhra Pradesh,East Godavari,23-02-2003 00:00,4,Shree Papers Ltd,operational,2003,2002-03,2000-2009,shree-papers-ltd-andhra-pradesh-east-godavari-4-2003-02-23,bio-power,
Jocil Limited Andhra Pradesh Guntur 6 2001-03-23,Andhra Pradesh,Guntur,23-03-2001 00:00,6,Jocil Limited,operational,2001,2000-01,2000-2009,jocil-limited-andhra-pradesh-guntur-6-2001-03-23,bio-power,
Matix Power (p) Ltd Andhra Pradesh Guntur 4.5 2001-08-08,Andhra Pradesh,Guntur,08-08-2001 00:00,4.5,Matix Power (p) Ltd,operational,2001,2001-02,2000-2009,matix-power-p-ltd-andhra-pradesh-guntur-4-5-2001-08-08,bio-power,
Greenko Energies Pvt Ltd Andhra Pradesh Guntur 6 2002-07-19,Andhra Pradesh,Guntur,19-07-2002 00:00,6,Greenko Energies Pvt Ltd,operational,2002,2002-03,2000-2009,greenko-energies-pvt-ltd-andhra-pradesh-guntur-6-2002-07-19,bio-power,
Satyamaharshi Power Corpn Ltd Andhra Pradesh Guntur 6 2004-07-13,Andhra Pradesh,Guntur,13-07-2004 00:00,6,Satyamaharshi Power Corpn Ltd,operational,2004,2004-05,2000-2009,satyamaharshi-power-corpn-ltd-andhra-pradesh-guntur-6-2004-07-13,bio-power,
Velagapudi Power Generation Ltd Andhra Pradesh Guntur 4 2006-11-13,Andhra Pradesh,Guntur,13-11-2006 00:00,4,Velagapudi Power Generation Ltd,operational,2006,2006-07,2000-2009,velagapudi-power-generation-ltd-andhra-pradesh-guntur-4-2006-11-13,bio-power,
HCL Agro Power Ltd Andhra Pradesh Krishna 6 2000-10-24,Andhra Pradesh,Krishna,24-10-2000 00:00,6,HCL Agro Power Ltd,operational,2000,2000-01,2000-2009,hcl-agro-power-ltd-andhra-pradesh-krishna-6-2000-10-24,bio-power,
Roshni Power Tech Ltd Andhra Pradesh Krishna 6 2001-08-30,Andhra Pradesh,Krishna,30-08-2001 00:00,6,Roshni Power Tech Ltd,operational,2001,2001-02,2000-2009,roshni-power-tech-ltd-andhra-pradesh-krishna-6-2001-08-30,bio-power,
Satyakala Power Projects (P) Ltd Andhra Pradesh Krishna 4 2001-11-02,Andhra Pradesh,Krishna,02-11-2001 00:00,4,Satyakala Power Projects (P) Ltd,operational,2001,2001-02,2000-2009,satyakala-power-projects-p-ltd-andhra-pradesh-krishna-4-2001-11-02,bio-power,
Vijaya Agro Products (p) Ltd Andhra Pradesh Krishna 4 2001-12-24,Andhra Pradesh,Krishna,24-12-2001 00:00,4,Vijaya Agro Products (p) Ltd,operational,2001,2001-02,2000-2009,vijaya-agro-products-p-ltd-andhra-pradesh-krishna-4-2001-12-24,bio-power,
Veeraiah Non-Conventional Power Projects Ltd. Andhra Pradesh Krishna 4 2002-10-26,Andhra Pradesh,Krishna,26-10-2002 00:00,4,Veeraiah Non-Conventional Power Projects Ltd.,operational,2002,2002-03,2000-2009,veeraiah-non-conventional-power-projects-ltd-andhra-pradesh-krishna-4-2002-10-26,bio-power,
Balaji Agro Oils Ltd Andhra Pradesh Krishna 4.5 2003-06-01,Andhra Pradesh,Krishna,01-06-2003 00:00,4.5,Balaji Agro Oils Ltd,operational,2003,2003-04,2000-2009,balaji-agro-oils-ltd-andhra-pradesh-krishna-4-5-2003-06-01,bio-power,
Rayalaseema Green Energy Ltd Andhra Pradesh Kurnool 5.5 2001-02-14,Andhra Pradesh,Kurnool,14-02-2001 00:00,5.5,Rayalaseema Green Energy Ltd,operational,2001,2000-01,2000-2009,rayalaseema-green-energy-ltd-andhra-pradesh-kurnool-5-5-2001-02-14,bio-power,
Suchand Power Gen.(p) Ltd Andhra Pradesh Kurnool 6 2002-11-28,Andhra Pradesh,Kurnool,28-11-2002 00:00,6,Suchand Power Gen.(p) Ltd,operational,2002,2002-03,2000-2009,suchand-power-gen-p-ltd-andhra-pradesh-kurnool-6-2002-11-28,bio-power,
SLS Power Ltd Andhra Pradesh Nellore 6 2001-08-30,Andhra Pradesh,Nellore,30-08-2001 00:00,6,SLS Power Ltd,operational,2001,2001-02,2000-2009,sls-power-ltd-andhra-pradesh-nellore-6-2001-08-30,bio-power,
Bollineni Castings & Steels Ltd Andhra Pradesh Nellore 6 2003-10-07,Andhra Pradesh,Nellore,07-10-2003 00:00,6,Bollineni Castings & Steels Ltd,operational,2003,2003-04,2000-2009,bollineni-castings-steels-ltd-andhra-pradesh-nellore-6-2003-10-07,bio-power,
Jyothi Bio Energy Ltd Andhra Pradesh Prakasam 4.5 2000-11-17,Andhra Pradesh,Prakasam,17-11-2000 00:00,4.5,Jyothi Bio Energy Ltd,operational,2000,2000-01,2000-2009,jyothi-bio-energy-ltd-andhra-pradesh-prakasam-4-5-2000-11-17,bio-power,
