plantSlug,unitName,unitNo,plant_name,state,district,commissioning_date,plant_capacity,implementing_agency,commissioning_status,commissioning_group,year,fyear,decade,source,technology_type,generation_2015-16,generation_2016-17,generation_2017-18,generation_2018-19,generation_2019-20,generation_2020-21,generation_2008-09,generation_2009-10,generation_2010-11,generation_2011-12,generation_2012-13,generation_2013-14,generation_2014-15,generation_2021-22,generation_2022-23,generation_2023-24,generation_2024-25,generation_2007-08,plant_load_factor_2015-16,plant_load_factor_2016-17,plant_load_factor_2017-18,plant_load_factor_2018-19,plant_load_factor_2019-20,plant_load_factor_2020-21,plant_load_factor_2008-09,plant_load_factor_2009-10,plant_load_factor_2010-11,plant_load_factor_2011-12,plant_load_factor_2012-13,plant_load_factor_2013-14,plant_load_factor_2014-15,plant_load_factor_2021-22,plant_load_factor_2022-23,plant_load_factor_2023-24,plant_load_factor_2024-25,plant_load_factor_2007-08
andhra-pradesh-anantapur,,,Andhra Pradesh-Anantapur,Andhra Pradesh,Anantapur,,2963.84,,operational,operational,1994,1994-95,1990-1999,wind,,1610.8715309759998,2290.803291,4659.52423284,6534.3417016799995,5619.549480047999,4458.843423072,,,,,,,,,,,,,16.81,10.25,18.61,25.22,21.63,18.78,,,,,,,,,,,,
andhra-pradesh-chittoor,,,Andhra Pradesh-Chittoor,Andhra Pradesh,Chittoor,,0.8,,operational,operational,2007,2006-07,2000-2009,wind,,1.18127232,0.7183200000000002,1.3041888000000001,1.7674176000000001,1.51998336,1.2043238400000003,,,,,,,,,,,,,16.81,10.25,18.61,25.22,21.63,18.78,,,,,,,,,,,,
andhra-pradesh-kurnool,,,Andhra Pradesh-Kurnool,Andhra Pradesh,Kurnool,,547.2,,operational,operational,2005,2004-05,2000-2009,wind,,67.03720415999999,456.1332,849.6790032000001,1191.2394623999999,1024.4687846400002,811.7142681600002,,,,,,,,,,,,,16.81,10.25,18.61,25.22,21.63,18.78,,,,,,,,,,,,
andhra-pradesh-srikakulam,,,Andhra Pradesh-Srikakulam,Andhra Pradesh,Srikakulam,,10.0,,operational,operational,2015,2015-16,2010-2019,wind,,14.765903999999999,8.979,16.30236,22.09272,18.999791999999996,15.054048,,,,,,,,,,,,,16.81,10.25,18.61,25.22,21.63,18.78,,,,,,,,,,,,
andhra-pradesh-y-s-r-kadapa,,,Andhra Pradesh-Y.S.R. (Kadapa),Andhra Pradesh,Y.S.R. (Kadapa),,436.25,,operational,operational,2004,2003-04,2000-2009,wind,,215.2130508,368.363475,711.190455,963.79491,828.865926,656.7328440000001,,,,,,,,,,,,,16.81,10.25,18.61,25.22,21.63,18.78,,,,,,,,,,,,
gujarat-amreli,,,Gujarat-Amreli,Gujarat,Amreli,,568.9,,operational,operational,2011,2010-11,2010-2019,wind,,33.0792264,122.68292399999999,213.97964399999998,241.11637200000004,235.79462160000003,186.6461472,,,,,,,,,,,,,18.37,16.38,19.62,21.42,20.89,18.12,,,,,,,,,,,,
gujarat-amreli-rajkot,,,Gujarat-Amreli & Rajkot,Gujarat,Amreli & Rajkot,,76.0,,operational,operational,2017,2016-17,2010-2019,wind,,N.F.,109.05148799999999,164.996352,180.13363200000003,176.15784960000002,139.4399232,,,,,,,,,,,,,N.F.,16.38,19.62,21.42,20.89,18.12,,,,,,,,,,,,
gujarat-amreli-rajkot-bhavnagar,,,Gujarat-Amreli & Rajkot & Bhavnagar,Gujarat,Amreli & Rajkot & Bhavnagar,,229.01,,operational,operational,2016,2015-16,2010-2019,wind,,206.5434624,387.41975999999994,464.0522400000001,506.62584,495.443952,392.17478400000005,,,,,,,,,,,,,18.37,16.38,19.62,21.42,20.89,18.12,,,,,,,,,,,,
gujarat-amreli-rajkot-botad,,,Gujarat-Amreli & Rajkot & Botad,Gujarat,Amreli & Rajkot & Botad,,176.0,,operational,operational,2017,2016-17,2010-2019,wind,,N.F.,252.54028799999998,302.493312,330.244992,322.95605760000007,255.63985920000002,,,,,,,,,,,,,N.F.,16.38,19.62,21.42,20.89,18.12,,,,,,,,,,,,
gujarat-bhavnagar,,,Gujarat-Bhavnagar,Gujarat,Bhavnagar,,694.22,,operational,operational,2003,2003-04,2000-2009,wind,,93.50932536,116.29767239999998,339.1878132,418.39788816,409.16330524800003,323.878271616,,,,,,,,,,,,,18.37,16.38,19.62,21.42,20.89,18.12,,,,,,,,,,,,
