plantSlug,unitName,unitNo,plant_name,state,district,commissioning_date,plant_capacity,implementing_agency,commissioning_status,commissioning_group,year,fyear,decade,source,technology_type,generation_2015-16,generation_2016-17,generation_2017-18,generation_2018-19,generation_2019-20,generation_2020-21,generation_2008_09,generation_2009_10,generation_2010_11,generation_2011_12,generation_2012_13,generation_2013_14,generation_2014_15,generation_2021_22,generation_2022_23,generation_2023_24,generation_2024_25,generation_2007_08,plant_load_factor_2015_16,plant_load_factor_2016_17,plant_load_factor_2017_18,plant_load_factor_2018_19,plant_load_factor_2019_20,plant_load_factor_2020_21,plant_load_factor_2008_09,plant_load_factor_2009_10,plant_load_factor_2010_11,plant_load_factor_2011_12,plant_load_factor_2012_13,plant_load_factor_2013_14,plant_load_factor_2014_15,plant_load_factor_2021_22,plant_load_factor_2022_23,plant_load_factor_2023_24,plant_load_factor_2024_25,plant_load_factor_2007_08
andhra-pradesh-anantapur,Not Available,Not Available,Andhra Pradesh-Anantapur,Andhra Pradesh,Anantapur,Not Available,2963.84,Not Available,operational,operational,1994,1994-95,1990-1999,wind,Not Available,1610.871531,2290.803291,4659.524233,6534.341702,5619.54948,4458.843423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.81,10.25,18.61,25.22,21.63,18.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
andhra-pradesh-chittoor,Not Available,Not Available,Andhra Pradesh-Chittoor,Andhra Pradesh,Chittoor,Not Available,0.8,Not Available,operational,operational,2007,2006-07,2000-2009,wind,Not Available,1.18127232,0.71832,1.3041888,1.7674176,1.51998336,1.20432384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.81,10.25,18.61,25.22,21.63,18.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
andhra-pradesh-kurnool,Not Available,Not Available,Andhra Pradesh-Kurnool,Andhra Pradesh,Kurnool,Not Available,547.2,Not Available,operational,operational,2005,2004-05,2000-2009,wind,Not Available,67.03720416,456.1332,849.6790032,1191.239462,1024.468785,811.7142682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.81,10.25,18.61,25.22,21.63,18.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
andhra-pradesh-srikakulam,Not Available,Not Available,Andhra Pradesh-Srikakulam,Andhra Pradesh,Srikakulam,Not Available,10.0,Not Available,operational,operational,2015,2015-16,2010-2019,wind,Not Available,14.765904,8.979,16.30236,22.09272,18.999792,15.054048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.81,10.25,18.61,25.22,21.63,18.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
andhra-pradesh-y-s-r-kadapa,Not Available,Not Available,Andhra Pradesh-Y.S.R. (Kadapa),Andhra Pradesh,Y.S.R. (Kadapa),Not Available,436.25,Not Available,operational,operational,2004,2003-04,2000-2009,wind,Not Available,215.2130508,368.363475,711.190455,963.79491,828.865926,656.732844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.81,10.25,18.61,25.22,21.63,18.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gujarat-amreli,Not Available,Not Available,Gujarat-Amreli,Gujarat,Amreli,Not Available,568.9,Not Available,operational,operational,2011,2010-11,2010-2019,wind,Not Available,33.0792264,122.682924,213.979644,241.116372,235.7946216,186.6461472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.37,16.38,19.62,21.42,20.89,18.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gujarat-amreli-rajkot,Not Available,Not Available,Gujarat-Amreli & Rajkot,Gujarat,Amreli & Rajkot,Not Available,76.0,Not Available,operational,operational,2017,2016-17,2010-2019,wind,Not Available,0.0,109.051488,164.996352,180.133632,176.1578496,139.4399232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.38,19.62,21.42,20.89,18.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gujarat-amreli-rajkot-bhavnagar,Not Available,Not Available,Gujarat-Amreli & Rajkot & Bhavnagar,Gujarat,Amreli & Rajkot & Bhavnagar,Not Available,229.01,Not Available,operational,operational,2016,2015-16,2010-2019,wind,Not Available,206.5434624,387.41976,464.05224,506.62584,495.443952,392.174784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.37,16.38,19.62,21.42,20.89,18.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gujarat-amreli-rajkot-botad,Not Available,Not Available,Gujarat-Amreli & Rajkot & Botad,Gujarat,Amreli & Rajkot & Botad,Not Available,176.0,Not Available,operational,operational,2017,2016-17,2010-2019,wind,Not Available,0.0,252.540288,302.493312,330.244992,322.9560576,255.6398592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.38,19.62,21.42,20.89,18.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gujarat-bhavnagar,Not Available,Not Available,Gujarat-Bhavnagar,Gujarat,Bhavnagar,Not Available,694.22,Not Available,operational,operational,2003,2003-04,2000-2009,wind,Not Available,93.50932536,116.2976724,339.1878132,418.3978882,409.1633052,323.8782716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.37,16.38,19.62,21.42,20.89,18.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
